date,value
1974-01-06,594.8766666666667
1974-01-13,615.9
1974-01-20,618.8
1974-01-27,635.5
1974-02-03,637.4
1974-02-10,636.6
1974-02-17,645.625
1974-02-24,652.0
1974-03-03,641.9
1974-03-10,627.1
1974-03-17,632.7
1974-03-24,637.8
1974-03-31,611.0
1974-04-07,577.25
1974-04-14,540.25
1974-04-21,560.3
1974-04-28,559.4
1974-05-05,542.3
1974-05-12,536.5
1974-05-19,547.7
1974-05-26,544.5
1974-06-02,553.625
1974-06-09,540.0
1974-06-16,540.7
1974-06-23,555.1
1974-06-30,574.4
1974-07-07,606.4375
1974-07-14,634.0
1974-07-21,702.4
1974-07-28,785.8
1974-08-04,869.0
1974-08-11,825.4
1974-08-18,787.4
1974-08-25,741.4
1974-09-01,739.6
1974-09-08,716.0
1974-09-15,749.6
1974-09-22,747.2
1974-09-29,818.0
1974-10-06,909.0
1974-10-13,908.4
1974-10-20,854.1
1974-10-27,828.4
1974-11-03,789.3
1974-11-10,836.375
1974-11-17,795.2
1974-11-24,742.4
1974-12-01,752.625
1974-12-08,764.3
1974-12-15,737.5
1974-12-22,748.0
1974-12-29,712.0625
1975-01-05,696.0
1975-01-12,680.7
1975-01-19,636.9
1975-01-26,599.2
1975-02-02,615.8
1975-02-09,600.3
1975-02-16,594.3
1975-02-23,556.875
1975-03-02,518.8
1975-03-09,520.5
1975-03-16,548.4
1975-03-23,552.8
1975-03-30,593.4375
1975-04-06,593.5
1975-04-13,577.1
1975-04-20,583.2
1975-04-27,564.2
1975-05-04,539.0
1975-05-11,513.6
1975-05-18,524.3
1975-05-25,529.7
1975-06-01,500.9375
1975-06-08,497.9
1975-06-15,504.0
1975-06-22,517.0
1975-06-29,516.8
1975-07-06,510.0
1975-07-13,545.25
1975-07-20,564.0
1975-07-27,568.6
1975-08-03,600.25
1975-08-10,609.25
1975-08-17,606.6
1975-08-24,622.1
1975-08-31,585.3
1975-09-07,560.375
1975-09-14,552.5
1975-09-21,586.6
1975-09-28,576.4
1975-10-05,562.1
1975-10-12,550.6
1975-10-19,533.1
1975-10-26,506.15
1975-11-02,488.7
1975-11-09,489.4
1975-11-16,480.4
1975-11-23,469.25
1975-11-30,488.0625
1975-12-07,489.4
1975-12-14,462.75
1975-12-21,452.5
1975-12-28,455.5
1976-01-04,448.0625
1976-01-11,463.7
1976-01-18,477.1
1976-01-25,481.1
1976-02-01,462.45
1976-02-08,477.3
1976-02-15,480.8
1976-02-22,483.1875
1976-02-29,478.9
1976-03-07,476.95
1976-03-14,479.2
1976-03-21,471.2
1976-03-28,475.65
1976-04-04,470.7
1976-04-11,476.9
1976-04-18,485.25
1976-04-25,484.8
1976-05-02,479.2
1976-05-09,488.05
1976-05-16,513.0
1976-05-23,535.6
1976-05-30,571.4
1976-06-06,584.75
1976-06-13,631.85
1976-06-20,644.2
1976-06-27,649.9
1976-07-04,679.2
1976-07-11,729.25
1976-07-18,717.1
1976-07-25,661.5
1976-08-01,623.7
1976-08-08,608.3
1976-08-15,626.0
1976-08-22,639.6
1976-08-29,674.6
1976-09-05,684.3
1976-09-12,730.25
1976-09-19,684.8
1976-09-26,650.1
1976-10-03,630.7
1976-10-10,649.0
1976-10-17,632.4
1976-10-24,626.4
1976-10-31,662.1
1976-11-07,664.75
1976-11-14,658.1
1976-11-21,658.2
1976-11-28,679.25
1976-12-05,678.2
1976-12-12,698.3
1976-12-19,689.9
1976-12-26,687.875
1977-01-02,702.75
1977-01-09,706.15
1977-01-16,713.25
1977-01-23,718.8
1977-01-30,727.15
1977-02-06,725.1
1977-02-13,733.4
1977-02-20,735.2
1977-02-27,759.1875
1977-03-06,801.0
1977-03-13,827.6
1977-03-20,840.35
1977-03-27,857.35
1977-04-03,893.05
1977-04-10,947.5
1977-04-17,993.5
1977-04-24,1032.55
1977-05-01,985.6
1977-05-08,987.0
1977-05-15,955.3
1977-05-22,970.5
1977-05-29,943.7
1977-06-05,953.5
1977-06-12,893.3
